country,year,pop_65_plus,pop_under_5,pop_25_64,pop_6_11,pop_12_24
Afghanistan,2015,841098,5239401,10809505,6021289,9773222
Afghanistan,2016,880803,5232848,11228661,6127608,10131766
Afghanistan,2017,916863,5271263,11635694,6192062,10465073
Afghanistan,2018,950964,5337777,12044647,6217757,10781479
Afghanistan,2019,985527,5403646,12476843,6212310,11096262
Afghanistan,2020,1022095,5450440,12943724,6189601,11412317
Afghanistan,2021,1061233,5533674,13419895,6173825,11678466
Afghanistan,2022,1102082,5562816,13939375,6187411,11925609
Afghanistan,2023,1144461,5554091,14493349,6227613,12151001
Afghanistan,2024,1187784,5538370,15066988,6288823,12345959
Afghanistan,2025,1232037,5538878,15651754,6358524,12511255
Afghanistan,2026,1280921,5536999,16256505,6421341,12658035
Afghanistan,2027,1330152,5549211,16873687,6472190,12791601
Afghanistan,2028,1380349,5572768,17503827,6509877,12913046
Afghanistan,2029,1432418,5595429,18151624,6533676,13027180
Afghanistan,2030,1487088,5609704,18817204,6545678,13135667
Afghanistan,2031,1546927,5631325,19488127,6560087,13217820
Afghanistan,2032,1608590,5639488,20177883,6579598,13282605
Afghanistan,2033,1672626,5636568,20876914,6601672,13339103
Afghanistan,2034,1739428,5629080,21570737,6623392,13397887
Afghanistan,2035,1809624,5622083,22249828,6641627,13466181
Afghanistan,2036,1886712,5619639,22908523,6657497,13536302
Afghanistan,2037,1966007,5610933,23554832,6672149,13616102
Afghanistan,2038,2048839,5597487,24191540,6683845,13700928
Afghanistan,2039,2136910,5579826,24825825,6690606,13782525
Afghanistan,2040,2231497,5559109,25461171,6690810,13855787
Afghanistan,2041,2334983,5541809,26087764,6689322,13913746
Afghanistan,2042,2442819,5517876,26717650,6686473,13959882
Afghanistan,2043,2555597,5488673,27346659,6680365,13997684
Afghanistan,2044,2673846,5455948,27968728,6668925,14032345
Afghanistan,2045,2798206,5421487,28579157,6650699,14067056
Afghanistan,2046,2930384,5391059,29169733,6630701,14094578
Afghanistan,2047,3066942,5356054,29752597,6608897,14116325
Afghanistan,2048,3207550,5317803,30327720,6583727,14132967
Afghanistan,2049,3351148,5277970,30896430,6553508,14144504
Afghanistan,2050,3497667,5238313,31458179,6517255,14150882
Afghanistan,2051,3647830,5204666,32001694,6480451,14148892
Afghanistan,2052,3799388,5168890,32540333,6443020,14136950
Afghanistan,2053,3954828,5131627,33070443,6403799,14116657
Afghanistan,2054,4117029,5093545,33587989,6361510,14089718
Afghanistan,2055,4288387,5055725,34088970,6315373,14057293
Afghanistan,2056,4467941,5026420,34560129,6270525,14017695
Afghanistan,2057,4653282,4993077,35019651,6227437,13968703
Afghanistan,2058,4847856,4956858,35462156,6185149,13911934
Afghanistan,2059,5055857,4919197,35881504,6142442,13848983
Afghanistan,2060,5280183,4881675,36272911,6097970,13781463
Afghanistan,2061,5518634,4851738,36623128,6055449,13710810
Afghanistan,2062,5768389,4817537,36952147,6014598,13633606
Afghanistan,2063,6029708,4780501,37257685,5974375,13551614
Afghanistan,2064,6302214,4742332,37538084,5933453,13466691
Afghanistan,2065,6585995,4704699,37791405,5890501,13380544
Afghanistan,2066,6877284,4673097,38006337,5849791,13296153
Afghanistan,2067,7172634,4639882,38202368,5809796,13208034
Afghanistan,2068,7473884,4605374,38376563,5769422,13117936
Afghanistan,2069,7783157,4569621,38525957,5727437,13027682
Afghanistan,2070,8101444,4533083,38648499,5683020,12938557
Afghanistan,2071,8422081,4503243,38733460,5641308,12853421
Afghanistan,2072,8745130,4469568,38800012,5601063,12766347
Afghanistan,2073,9065943,4433106,38851720,5561256,12678271
Afghanistan,2074,9376675,4395358,38895435,5520653,12589773
Afghanistan,2075,9673257,4357730,38934367,5478100,12501520
Afghanistan,2076,9949059,4325654,38959002,5437827,12418026
Afghanistan,2077,10204724,4291782,38986665,5397995,12332325
Afghanistan,2078,10447387,4256768,39010192,5357716,12245413
Afghanistan,2079,10686442,4221242,39020518,5315970,12158264
Afghanistan,2080,10927767,4185985,39011737,5272089,12071598
Afghanistan,2081,11168265,4156230,38973447,5230414,11988291
Afghanistan,2082,11403176,4125259,38925805,5189769,11902371
Afghanistan,2083,11632826,4093511,38868203,5149354,11815015
Afghanistan,2084,11855937,4061562,38801538,5108262,11727409
Afghanistan,2085,12072349,4030142,38725535,5065855,11640448
Afghanistan,2086,12286035,4004383,38624636,5025519,11556220
Afghanistan,2087,12487120,3977111,38522511,4986889,11470221
Afghanistan,2088,12678693,3948816,38416110,4949319,11383356
Afghanistan,2089,12863869,3920046,38302654,4912026,11296409
Afghanistan,2090,13045077,3891489,38179883,4874248,11210137
Afghanistan,2091,13233822,3867551,38028349,4837924,11125453
Afghanistan,2092,13411267,3841562,37877207,4803468,11039863
Afghanistan,2093,13579904,3814223,37723766,4770212,10954329
Afghanistan,2094,13741823,3786421,37565723,4737304,10869805
Afghanistan,2095,13898985,3759148,37401033,4703882,10787114
Afghanistan,2096,14070292,3734706,37207240,4671043,10706033
Afghanistan,2097,14229331,3709598,37016224,4639451,10625355
Afghanistan,2098,14378812,3684390,36825507,4608384,10545871
Afghanistan,2099,14521112,3659293,36633344,4577044,10468409
Afghanistan,2100,14658476,3634189,36438407,4544901,10393619
China,2015,135178504,85884695,832669638,97358079,229101651
China,2016,142074949,85866368,838620996,98302992,221635641
China,2017,149992731,85131175,841858746,99340028,216060326
China,2018,158393486,83843773,843034891,100375122,212179288
China,2019,166428061,82343115,843277514,101308276,209477244
China,2020,173630900,80836819,843300802,102033562,207613930
China,2021,180177756,78740146,843121742,102562850,206957115
China,2022,185871825,77109265,842415180,102575804,207274151
China,2023,191236729,75806063,841063804,102013125,208333344
China,2024,197026588,74585532,838848370,100850876,209842228
China,2025,203696545,73272306,835620111,99219840,211490758
China,2026,210907746,72048570,831304156,97600105,213118551
China,2027,218626272,70925240,826339488,95892449,214402184
China,2028,226964179,69863416,820681251,94107439,215315454
China,2029,236038580,68883452,814192398,92270675,215849577
China,2030,245902034,68004931,806813305,90418714,215972054
China,2031,256131225,67494226,798469512,88661876,215767593
China,2032,266915089,66903610,789603621,87014037,215078674
China,2033,277957855,66293242,780477909,85516111,213862809
China,2034,288813405,65738528,771509235,84195788,212076760
China,2035,299179929,65304727,762978040,83027154,209737827
China,2036,308581904,65088966,754950306,82004576,207113735
China,2037,317419791,64901276,747454389,81076876,204056742
China,2038,325463428,64748341,740592801,80256481,200692904
China,2039,332355685,64615192,734558480,79547480,197216237
China,2040,337911401,64496663,729423083,78935584,193777214
China,2041,341737871,64503524,725215076,78477125,190555535
China,2042,344198829,64467957,721933237,78106885,187448795
China,2043,345746287,64387603,719097754,77816525,184498098
China,2044,347011278,64256758,716067881,77593770,181730725
China,2045,348444363,64070574,712398509,77415397,179173120
China,2046,349711877,63907192,708156839,77317000,176964449
China,2047,350780315,63647154,703642806,77239262,175043487
China,2048,352185681,63304592,698348316,77166087,173388540
China,2049,354728133,62893621,691537272,77076083,171946733
China,2050,358891635,62419159,682798891,76944272,170673352
China,2051,364349828,61885574,672296991,76824413,169673214
China,2052,371208037,61331972,660092980,76638924,168843000
China,2053,378645776,60753508,647083725,76364350,168150561
China,2054,385291862,60146916,634702039,75984760,167570120
China,2055,390269428,59510408,623862679,75506638,167073569
China,2056,393587120,58849334,614453932,75020753,166686955
China,2057,395206442,58225613,606622058,74472589,166317260
China,2058,395400945,57632677,600147559,73855823,165949145
China,2059,394655640,57066118,594606821,73166245,165558857
China,2060,393330401,56521187,589696013,72413833,165108917
China,2061,391360439,56033807,585404871,71667487,164586308
China,2062,388487793,55592918,582038925,70926161,163972733
China,2063,385029093,55192866,579317863,70191730,163257648
China,2064,381423421,54828423,576847364,69464142,162424312
China,2065,378032291,54496390,574311183,68741549,161451589
China,2066,374685574,54276651,571703127,68069783,160388044
China,2067,371386932,54059543,569156161,67453802,159217977
China,2068,368268842,53847971,566538449,66893647,157942948
China,2069,365440475,53647228,563733722,66385803,156570111
China,2070,363012974,53463097,560632778,65915629,155110357
China,2071,360426694,53378323,557503736,65528213,153708652
China,2072,358077631,53276224,554206562,65187115,152282246
China,2073,356113350,53153270,550601942,64883679,150832093
China,2074,354611963,53005698,546596375,64611548,149376893
China,2075,353563281,52836058,542174803,64361226,147946235
China,2076,352365021,52717003,537664018,64180205,146676411
China,2077,351479590,52551198,532870007,64015927,145470842
China,2078,350828773,52345654,527876056,63861124,144336209
China,2079,350269240,52109163,522833481,63707812,143278581
China,2080,349731476,51845974,517832576,63543574,142299058
China,2081,349148177,51560240,512884733,63384421,141430974
China,2082,348345298,51267906,508169803,63214912,140674678
China,2083,347271963,50972887,503742837,63031400,140034869
China,2084,346061171,50665425,499543126,62816439,139478926
China,2085,345014698,50324306,495392534,62545398,138940005
China,2086,343637727,49985601,491587434,62289822,138504587
China,2087,341988816,49657825,488143142,62019742,138123555
China,2088,340412627,49320323,484833334,61705699,137734849
China,2089,339117884,48964565,481513815,61332393,137300929
China,2090,338114271,48593871,478168948,60906359,136814432
China,2091,336373426,48290004,475425851,60542870,136459157
China,2092,334739174,47989330,472780548,60158663,136047288
China,2093,333250600,47690906,470189822,59752256,135571985
China,2094,331958877,47393395,467598836,59321967,135024183
China,2095,330908643,47095114,464956444,58868391,134394209
China,2096,329053373,46893043,462877419,58496031,133875556
China,2097,327406115,46680705,460751396,58117035,133259018
China,2098,326005403,46458350,458520364,57731091,132545470
China,2099,324808654,46236542,456172282,57343574,131753320
China,2100,323761657,46032330,453703396,56957216,130899907
Denmark,2015,1083551,295077,2897939,398365,947830
Denmark,2016,1109865,284888,2906291,400912,945607
Denmark,2017,1128206,285454,2919135,399142,939647
Denmark,2018,1141702,293183,2935362,393102,931516
Denmark,2019,1155208,302205,2952774,383219,924141
Denmark,2020,1171592,308657,2969180,371431,918458
Denmark,2021,1187056,320052,2977950,362762,913257
Denmark,2022,1204600,325870,2987205,357737,907352
Denmark,2023,1223873,327575,2995833,356641,900562
Denmark,2024,1243998,328520,3002392,359618,891900
Denmark,2025,1264697,330975,3006316,365573,881431
Denmark,2026,1284155,333424,3006905,372110,874521
Denmark,2027,1303941,336223,3005259,378109,869606
Denmark,2028,1324416,339415,3001710,383653,865669
Denmark,2029,1346246,342094,2997276,388751,861676
Denmark,2030,1369725,343670,2992554,393425,857083
Denmark,2031,1392095,344211,2986318,399021,854551
Denmark,2032,1415397,344512,2980119,403908,851368
Denmark,2033,1438545,344440,2974324,407926,848496
Denmark,2034,1459891,344025,2969040,410978,847508
Denmark,2035,1478634,343190,2964222,413161,849197
Denmark,2036,1492650,341798,2958711,415775,855749
Denmark,2037,1503196,340609,2954305,417444,864806
Denmark,2038,1511512,339484,2951000,418160,875276
Denmark,2039,1519371,338258,2948756,417976,885551
Denmark,2040,1527922,336790,2947547,417077,894456
Denmark,2041,1535138,335464,2945455,416674,904414
Denmark,2042,1542163,334122,2944833,415736,913205
Denmark,2043,1548246,332838,2946581,414377,920595
Denmark,2044,1552513,331733,2951667,412694,926414
Denmark,2045,1555170,330852,2960114,410744,930441
Denmark,2046,1553114,330476,2970874,409599,935448
Denmark,2047,1548619,330510,2985447,408144,938981
Denmark,2048,1543958,330861,3001867,406435,940775
Denmark,2049,1541494,331443,3017709,404599,940810
Denmark,2050,1542410,332230,3031548,402789,939194
Denmark,2051,1541791,333902,3043471,402166,938814
Denmark,2052,1543534,335684,3053971,401585,937355
Denmark,2053,1547860,337543,3062684,401183,934852
Denmark,2054,1555300,339397,3068984,401081,931364
Denmark,2055,1566474,341171,3072278,401274,926950
Denmark,2056,1577239,343623,3072200,402594,924368
Denmark,2057,1590776,345654,3069682,404044,921756
Denmark,2058,1606397,347317,3065508,405674,918968
Denmark,2059,1622928,348675,3060990,407521,915876
Denmark,2060,1639797,349741,3056861,409496,912453
Denmark,2061,1653354,350832,3052970,412293,911365
Denmark,2062,1665948,351652,3050252,414817,910815
Denmark,2063,1677919,352201,3048542,417048,910623
Denmark,2064,1690016,352416,3047344,418956,910601
Denmark,2065,1703177,352201,3046037,420495,910542
Denmark,2066,1712296,351840,3045759,422717,913000
Denmark,2067,1720464,351403,3046697,424393,915916
Denmark,2068,1729211,350801,3047809,425450,918930
Denmark,2069,1740113,349968,3047850,425873,921723
Denmark,2070,1753970,348837,3046170,425734,924065
Denmark,2071,1764573,347836,3044641,426299,928515
Denmark,2072,1776954,346888,3041929,426307,932765
Denmark,2073,1790265,345955,3039108,425786,936550
Denmark,2074,1803365,345002,3037564,424773,939538
Denmark,2075,1816039,343953,3037804,423318,941391
Denmark,2076,1821100,343439,3042195,422738,944857
Denmark,2077,1824551,343050,3048876,421812,947515
Denmark,2078,1828031,342705,3056526,420550,949080
Denmark,2079,1833260,342351,3063505,419019,949387
Denmark,2080,1841184,341969,3068832,417313,948383
Denmark,2081,1843396,342375,3075814,416658,948929
Denmark,2082,1847061,342743,3081869,415878,948622
Denmark,2083,1852285,343076,3086849,415051,947398
Denmark,2084,1859373,343354,3090472,414236,945192
Denmark,2085,1869028,343533,3092216,413406,941922
Denmark,2086,1873710,344354,3094995,413567,940310
Denmark,2087,1879310,345050,3096846,413691,938378
Denmark,2088,1886179,345618,3097620,413809,936032
Denmark,2089,1895021,346020,3096933,413914,933138
Denmark,2090,1906949,346174,3094137,413913,929540
Denmark,2091,1913394,346783,3093143,414862,928040
Denmark,2092,1920457,347261,3091615,415689,926667
Denmark,2093,1929165,347523,3088990,416318,925146
Denmark,2094,1940308,347482,3084829,416698,923248
Denmark,2095,1954419,347078,3078860,416786,920836
Denmark,2096,1961719,347043,3075948,417776,920758
Denmark,2097,1969865,346809,3072602,418472,920795
Denmark,2098,1979395,346328,3068649,418840,920733
Denmark,2099,1990803,345542,3063941,418869,920386
Denmark,2100,2004683,344358,3058271,418542,919584
Nigeria,2015,4957477,31109161,61975589,30212299,47295879
Nigeria,2016,5109383,31801515,63593196,31037469,48668992
Nigeria,2017,5250721,32378337,65302514,31886242,50142375
Nigeria,2018,5385291,32882415,67096658,32741001,51702583
Nigeria,2019,5517242,33377087,68966026,33580244,53325719
Nigeria,2020,5649974,33914171,70907877,34380085,54994745
Nigeria,2021,5838322,34454732,72840781,35220613,56665305
Nigeria,2022,6021208,35017565,74860671,36018233,58389163
